ticker,start_date,end_date
ITT,1/2/96,11/1/11
JNS,7/13/00,11/23/11
GAS,1/2/96,12/12/11
AKS,7/1/08,12/19/11
MWW,6/4/01,12/19/11
SUNEQ,5/31/07,12/19/11
TLAB,1/2/96,12/21/11
CPWR,1/4/99,1/3/12
CEG,1/2/96,3/13/12
MHS,8/20/03,4/2/12
SVU,1/2/96,5/1/12
MMI,1/4/11,5/22/12
EP,10/26/99,5/25/12
NVLS,6/19/00,6/5/12
HSH,1/2/96,6/29/12
PGN,1/2/96,7/2/12
GR,1/2/96,7/27/12
SHLD,3/28/05,9/5/12
ATGE,6/9/09,10/1/12
LXK,8/13/99,10/1/12
ANRZQ,6/2/11,10/2/12
SUN,1/2/96,10/5/12
CBE,11/23/11,12/3/12
RRD,1/2/96,12/12/12
TIE,10/29/07,12/24/12
FII,4/16/03,1/2/13
BIG,1/20/98,2/14/13
TMUS,6/30/09,5/1/13
CVH,8/30/05,5/7/13
DF,4/3/06,5/24/13
HNZ,1/2/96,6/7/13
FHN,5/6/02,6/24/13
APOL,5/15/02,7/1/13
S,1/2/96,7/9/13
BMC,10/1/98,9/11/13
AMD,1/2/96,9/23/13
LDOS,12/21/09,9/23/13
DELL,9/6/96,10/29/13
NYX,10/25/07,11/13/13
JCP,1/2/96,12/2/13
MOLX,12/1/99,12/9/13
ANF,3/29/07,12/23/13
TER,11/15/99,12/23/13
VIAV,7/27/00,12/23/13
LIFE,11/24/08,1/24/14
WPX,1/3/12,3/24/14
CLF,12/21/09,4/2/14
BEAM,1/2/96,5/1/14
SLM,7/1/98,5/1/14
LSI,1/2/96,5/7/14
IGT,9/4/01,6/20/14
FRX,11/22/00,7/1/14
X,1/2/96,7/2/14
RDC,1/2/96,8/19/14
BTUUQ,11/20/06,9/22/14
GHC,12/31/07,9/22/14
JBL,1/30/01,11/5/14
BMS,1/2/96,12/5/14
COV,3/1/11,1/27/15
SWY,11/13/98,1/27/15
PETM,10/5/12,3/12/15
CFN,9/1/09,3/17/15
AVP,1/2/96,3/23/15
DNR,4/2/09,3/23/15
NBR,10/18/00,3/23/15
WIN,7/18/06,4/7/15
LO,6/11/08,6/12/15
TEG,2/22/07,6/30/15
QEP,7/1/10,7/1/15
ATI,1/2/96,7/2/15
MWV,1/2/96,7/2/15
KRFT,10/2/12,7/6/15
FDO,8/6/01,7/7/15
NE,1/18/11,7/20/15
DTV,12/4/06,7/27/15
PLL,1/2/96,8/31/15
HSP,5/3/04,9/3/15
JOY,2/28/11,10/8/15
HCBK,2/15/07,11/2/15
FCPT,11/10/15,11/17/15
GNW,12/2/05,11/18/15
SIAL,1/2/96,11/18/15
DXC,1/2/96,12/1/15
CMCSK,9/21/15,12/14/15
ALTR,4/18/00,12/28/15
FOSL,4/4/12,1/5/16
BRCM,7/3/00,2/1/16
PCP,6/1/07,2/1/16
PCL,1/17/02,2/22/16
GMCR,3/24/14,3/3/16
CNX,6/28/06,3/4/16
POM,11/9/07,3/24/16
ESV,7/31/12,3/30/16
CAM,1/29/08,4/4/16
THC,1/2/96,4/18/16
GME,12/14/07,4/25/16
ADT,10/2/12,5/2/16
SNDK,4/20/06,5/12/16
TWC,3/30/09,5/18/16
ARG,9/9/09,5/23/16
CCE,10/8/98,5/31/16
CCEP,1/4/16,5/31/16
BXLT,7/1/15,6/3/16
CVC,12/20/10,6/21/16
CPGX,7/2/15,7/1/16
GAS,12/13/11,7/1/16
TE,10/10/01,7/1/16
EMC,3/28/96,9/7/16
HOT,11/17/00,9/23/16
DO,2/26/09,10/3/16
LM,4/24/06,12/2/16
OI,1/2/09,12/2/16
STJ,1/2/96,1/5/17
SE,1/3/07,2/27/17
PBI,1/2/96,3/1/17
ENDP,1/27/15,3/2/17
HAR,2/1/06,3/13/17
LLTC,4/3/00,3/13/17
FSLR,10/16/09,3/20/17
FTR,2/27/01,3/20/17
URBN,2/8/10,3/20/17
SWN,6/6/08,4/4/17
DNB,12/2/08,4/5/17
TGNA,1/2/96,6/2/17
MJN,12/21/09,6/15/17
AABA,12/8/99,6/19/17
R,1/2/96,6/19/17
TDC,10/1/07,6/19/17
RAI,9/4/02,7/25/17
BBBY,10/1/99,7/26/17
MNK,8/19/14,7/26/17
MUR,8/15/05,7/26/17
RIG,10/29/13,7/26/17
AN,2/24/03,8/8/17
WFM,1/3/06,8/28/17
DD,1/2/96,9/1/17
DOW,1/2/96,9/1/17
SPLS,10/7/98,9/13/17
LVLT,11/5/14,10/13/17
BCR,1/2/96,12/29/17
SNI,7/1/08,3/7/18
CHK,3/3/06,3/19/18
PDCO,10/11/05,3/19/18
SIG,7/29/15,3/19/18
CSRA,11/30/15,4/4/18
WYND,8/1/06,5/31/18
NAVI,5/1/14,6/5/18
MON,8/14/02,6/7/18
TWX,1/2/96,6/15/18
AYI,5/3/16,6/18/18
RRC,12/21/07,6/18/18
KDP,10/7/08,7/2/18
GGP,12/10/13,8/28/18
XL,9/4/01,9/12/18
KORS,11/13/13,9/19/18
ANDV,9/27/07,10/1/18
EVHC,12/2/16,10/11/18
PX,1/2/96,10/31/18
CA,1/2/96,11/6/18
EQT,12/19/08,11/13/18
COL,7/2/01,11/27/18
AET,1/2/96,11/29/18
SRCL,11/19/08,12/3/18
ESRX,9/26/03,12/21/18
SCG,1/2/09,1/2/19
PCG,1/2/96,1/18/19
NFX,12/20/10,2/15/19
GT,1/2/96,2/27/19
BHF,8/7/17,4/2/19
HRS,9/22/08,6/1/19
